name,mass,semi_major_axis,temp_eq,star_luminosity,star_mass,star_radius,star_teff,radius
           HATS-34 b,299.07653,0.03166,1443.35498,0.72239,0.955,0.98,5380,16.02884
           WASP-48 b,311.47184,0.03444,2058.95841,3.53976,1.19,1.75,5990,18.719
         kappa And b,4131.76929,100,89.87969,78.43822,2.8,2.29,11361,13.45078
         Kepler-11 b,1.89999,0.091,952.26381,1.13076,0.95,1.1,5680,1.8
          Kepler-9 c,29.90765,0.229,605.08214,1.16457,1,1.1,5722,8.29465
          HD 76700 b,73.10053,0.049,1439.19224,1.70726,1,1.33,5726,11.09689
          HAT-P-45 b,283.50294,0.0452,1649.37986,2.50781,1.259,1.319,6330,15.98401
           HATS-24 b,775.50131,0.02547,2091.23717,2.00007,1.212,1.172,6346,16.66775
           WASP-90 b,200.2319,0.0562,1840.3851,6.01679,1.55,1.98,6430,18.27064
           WASP-31 b,151.92198,0.04657,1542.70437,2.03986,1.16,1.24,6200,17.2282
           WASP-62 b,181.16219,0.0567,1427.3642,2.21596,1.25,1.28,6230,15.58048
           WASP-52 b,146.20107,0.0272,1299.36868,0.35021,0.87,0.79,5000,14.23541
          WASP-123 b,292.40213,0.0431,1515.13659,1.62562,1.207,1.296,5730,14.87432
          HAT-P-51 b,98.20898,0.05069,1193.00402,0.85775,0.976,1.041,5449,14.49321
          HAT-P-43 b,209.76675,0.0443,1358.87628,1.11118,1.048,1.104,5645,14.38112
           HATS-22 b,870.84983,0.05025,858.27671,0.22682,0.759,0.689,4803,10.68216
        TRAPPIST-1 e,0.63566,0.02817,251.57806,0.00053,0.08,0.117,2560,0.91802
         Kepler-40 b,699.22249,0.08,1619.79142,7.316,1.48,2.13,6510,13.11451
          HAT-P-18 b,58.1626,0.0559,842.22737,0.25962,0.77,0.717,4870,10.6149
         Kepler-87 b,324.18497,0.471,530.90518,2.92473,1.1,1.82,5600,13.56287
           KOI-830 b,403.64208,0.0433,1074.0754,0.4042,0.87,0.8,5150,12.1057
          WASP-113 b,150.96849,0.05885,1484.63051,2.79398,1.318,1.608,5890,15.79345
           WASP-45 b,320.05321,0.04054,1196.6591,0.55964,0.909,0.945,5140,13.00242
           GJ 1132 b,1.65906,0.0154,578.10385,0.0044,0.181,0.207,3270,1.16013
            HATS-1 b,589.57169,0.0444,1371.09013,1.14852,0.986,1.038,5870,14.59409
          WASP-129 b,317.82841,0.0628,1078.27459,0.88122,1,0.9,5900,10.42435
           WASP-69 b,82.63539,0.04525,963.72023,0.29329,0.826,0.813,4715,11.84789
        Kepler-167 d,1.90697,0.1405,516.20634,0.23276,0.76,0.7,4796,1.19376
           WASP-43 b,652.18389,0.01526,1440.98031,0.16672,0.717,0.667,4520,11.6125
    EPIC 211442297 b,266.97586,0.1367,682.24503,0.66595,0.831,0.881,5560,12.49801
          WASP-130 b,390.92894,0.1012,835.41291,0.82837,1.04,0.96,5625,9.97599
          HAT-P-14 b,699.22249,0.0594,1583.94173,3.67129,1.386,1.468,6600,13.45078
          WASP-172 b,149.37935,0.0694,1745.49793,7.42427,1.49,1.91,6900,17.5981
           WASP-34 b,187.51876,0.0524,1158.14365,0.8197,1.01,0.93,5700,13.67496
           HATS-31 b,279.689,0.0478,1837.49312,4.20625,1.275,1.87,6050,18.38273
          Kepler-4 b,26.19987,0.0456,1612.80397,2.33622,1.223,1.487,5857,4
          CoRoT-33 b,18815.44167,0.0579,1015.80629,0.59128,0.86,0.94,5225,12.32988
         HD 192699 b,666.16834,1.063,495.52882,11.27547,1.38,4.41,5041,13.51803
          WASP-107 b,38.13941,0.055,739.99306,0.15062,0.69,0.66,4430,10.53644
           HATS-70 b,4099.98645,0.03632,2762.48868,12.54871,1.78,1.88,7930,15.51323
           HATS-57 b,1000.206,0.03493,1412.50785,0.80621,1.026,0.96,5587,12.66615
             K2-99 b,308.29355,0.159,1281.26336,11.10762,1.6,3.1,5990,14.45959
          HD 75289 b,149.37935,0.046,1538.45566,1.96796,1.05,1.25,6120,11.54525
           CoRoT-6 b,940.77208,0.0855,1018.06397,1.2975,1.055,1.025,6090,13.06967
           CoRoT-7 b,4.73564,0.0172,1825.3911,0.54149,0.93,0.87,5313,1.52442
           HATS-30 b,224.38686,0.04354,1415.06936,1.26079,1.093,1.061,5943,13.17055
         HD 209458 b,219.3016,0.04747,1478.83609,1.78962,1.148,1.203,6092,15.46839
